epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.0497,1.00802,2.06619,1.32,0.79757,0.70145,0.78907,0.53289,1.11302,1.44771,1.39343,0.000552663,0.000552663,0.000552663
2,100.249,1.12745,1.43618,1.35053,0.7847,0.74381,0.79743,0.50288,1.181,1.43833,1.50572,0.00109736,0.00109736,0.00109736
3,145.634,1.17108,1.25251,1.3733,0.7542,0.67439,0.75024,0.4985,1.21164,1.40334,1.46932,0.00163105,0.00163105,0.00163105
4,190.56,1.13319,1.10655,1.34678,0.83722,0.77567,0.87418,0.62336,1.01792,0.94146,1.32443,0.00161749,0.00161749,0.00161749
5,235.387,1.08319,1.01917,1.30626,0.8798,0.83098,0.89078,0.64755,1.00844,0.85019,1.32841,0.00160099,0.00160099,0.00160099
6,280.316,1.04459,0.94824,1.28271,0.8823,0.83554,0.90985,0.6875,0.93552,0.73081,1.24512,0.00158448,0.00158448,0.00158448
7,325.091,0.99601,0.87075,1.24568,0.91648,0.82939,0.91732,0.64144,1.11267,0.7605,1.36778,0.00156798,0.00156798,0.00156798
8,370.114,0.97487,0.83255,1.23374,0.93087,0.86644,0.94479,0.70073,0.92961,0.64899,1.23534,0.00155148,0.00155148,0.00155148
9,414.825,0.9845,0.82133,1.23772,0.91075,0.9049,0.9577,0.74219,0.84662,0.60451,1.1514,0.00153497,0.00153497,0.00153497
10,459.874,0.97186,0.78411,1.2327,0.91591,0.91882,0.95677,0.7255,0.9102,0.59678,1.22819,0.00151847,0.00151847,0.00151847
11,505.338,0.95054,0.77398,1.21339,0.94269,0.92914,0.97308,0.75419,0.84896,0.55745,1.15899,0.00150197,0.00150197,0.00150197
12,550.446,0.90949,0.7342,1.18481,0.93072,0.93475,0.97306,0.76325,0.83732,0.53609,1.16094,0.00148546,0.00148546,0.00148546
13,595.829,0.88406,0.71295,1.17653,0.93821,0.92482,0.97046,0.77559,0.7716,0.5263,1.12539,0.00146896,0.00146896,0.00146896
14,640.314,0.90677,0.70375,1.1906,0.95999,0.91229,0.96972,0.77729,0.79727,0.50963,1.14994,0.00145246,0.00145246,0.00145246
15,685.074,0.88388,0.70305,1.18327,0.97667,0.93266,0.98474,0.80356,0.74521,0.44329,1.09947,0.00143595,0.00143595,0.00143595
16,730.387,0.85213,0.6652,1.15551,0.96288,0.93469,0.97471,0.77578,0.7818,0.48358,1.13532,0.00141945,0.00141945,0.00141945
17,775.341,0.84652,0.63665,1.1532,0.90813,0.92484,0.97441,0.78923,0.74872,0.48792,1.08847,0.00140295,0.00140295,0.00140295
